CustomerID,DeviceType,DeviceName,OperatingSystem,IPAddress,MACAddress,IsTrusted
206,Mobile,OnePlus 12,Android,10.219.191.63,D4:FF:D5:CF:23:99,1
207,Laptop,Dell Inspiron 15,Windows,10.45.3.120,9B:66:A9:CB:40:FA,1
208,Mobile,Samsung Galaxy S24,Android,10.193.120.241,FC:1E:D7:DC:72:D8,1
209,Mobile,Vivo V30,Android,10.254.255.32,5F:8C:0D:C2:D0:BA,1
210,Mobile,OnePlus 12,Android,10.235.162.128,B5:FC:E4:BF:D4:E7,1
211,Mobile,iPhone 15,iOS,10.54.253.25,04:B3:DE:83:0E:55,1
212,Laptop,Lenovo ThinkPad,Windows,10.62.69.101,4A:A9:DC:85:A9:B2,1
213,Laptop,MacBook Air M3,macOS,10.92.173.11,E5:05:E8:11:F2:25,1
214,Mobile,iPhone 15,iOS,10.115.119.27,A0:97:B6:E2:A5:3D,1
215,Laptop,HP Pavilion,Windows,10.72.12.205,14:47:82:C1:29:5A,1
216,Mobile,iPhone 15,iOS,10.90.192.204,A6:B6:E6:2E:2F:36,1
217,Mobile,OnePlus 12,Android,10.246.7.15,1A:51:8D:4C:3B:5E,1
218,Laptop,MacBook Air M3,macOS,10.165.225.99,E7:47:F3:73:5F:B2,1
219,Laptop,HP Pavilion,Windows,10.179.175.88,63:E4:64:01:61:CA,1
220,Mobile,Vivo V30,Android,10.84.228.123,22:96:9D:4A:39:EA,1
221,Mobile,Samsung Galaxy S24,Android,10.38.146.40,8A:D5:86:BC:F1:11,1
222,Tablet,iPad Air,iPadOS,10.110.40.212,44:92:2C:04:9C:25,1
223,Laptop,MacBook Air M3,macOS,10.59.95.120,80:B1:69:02:AB:2E,1
224,Tablet,iPad Air,iPadOS,10.202.15.148,2E:06:57:F3:9F:51,1
225,Mobile,iPhone 15,iOS,10.153.21.124,CC:2A:59:DD:57:F3,1
226,Mobile,Samsung Galaxy S24,Android,10.163.78.84,06:A8:7F:60:FA:64,1
227,Laptop,Lenovo ThinkPad,Windows,10.42.140.47,3B:F9:64:A1:CF:F2,1
228,Laptop,Lenovo ThinkPad,Windows,10.171.25.172,40:A8:B6:F4:DA:C4,1
229,Mobile,iPhone 15,iOS,10.234.76.158,49:56:67:76:43:82,1
230,Laptop,Lenovo ThinkPad,Windows,10.102.58.2,50:9E:F8:17:78:6D,1
231,Mobile,OnePlus 12,Android,10.129.191.120,7D:41:A6:20:C4:AA,1
232,Laptop,HP Pavilion,Windows,10.167.139.80,02:2C:BA:E0:7F:03,1
233,Laptop,Lenovo ThinkPad,Windows,10.27.156.44,29:46:1E:C9:20:33,1
234,Mobile,Vivo V30,Android,10.104.219.81,1E:20:DC:81:19:62,1
235,Mobile,Vivo V30,Android,10.84.253.174,59:4B:DF:E3:28:68,1
236,Mobile,OnePlus 12,Android,10.156.13.71,DA:1F:40:30:38:07,1
237,Mobile,Samsung Galaxy S24,Android,10.54.148.207,7A:A9:09:C6:41:1D,1
238,Mobile,Vivo V30,Android,10.62.248.124,D5:0E:6F:9E:96:E6,1
239,Laptop,HP Pavilion,Windows,10.95.194.52,7C:71:B7:90:63:BF,1
240,Laptop,MacBook Air M3,macOS,10.218.225.37,DF:78:58:EF:F2:E3,1
241,Laptop,HP Pavilion,Windows,10.149.97.98,45:F7:C0:33:EB:FE,1
242,Laptop,Lenovo ThinkPad,Windows,10.15.39.50,30:06:BD:8A:BC:7F,1
243,Mobile,iPhone 15,iOS,10.242.93.33,A0:52:10:67:FD:7D,1
244,Mobile,Vivo V30,Android,10.50.49.11,6C:0D:70:5E:6A:7A,1
245,Laptop,HP Pavilion,Windows,10.237.225.253,4F:E0:00:E0:22:46,1
246,Laptop,Lenovo ThinkPad,Windows,10.210.133.190,7A:A7:02:7D:EA:82,1
247,Mobile,Samsung Galaxy S24,Android,10.220.0.43,2F:59:B0:4A:F0:60,1
248,Laptop,Dell Inspiron 15,Windows,10.158.53.215,D5:F9:F4:DD:FD:1E,1
249,Mobile,OnePlus 12,Android,10.117.19.12,97:23:1F:87:37:30,1
250,Mobile,iPhone 15,iOS,10.212.250.53,69:37:1C:6E:6D:22,1
251,Laptop,HP Pavilion,Windows,10.82.212.210,F8:E3:8E:14:DD:3B,1
252,Mobile,Vivo V30,Android,10.21.97.36,90:6A:D2:60:21:79,1
253,Mobile,iPhone 15,iOS,10.223.90.155,CD:18:50:F8:FA:44,1
254,Mobile,OnePlus 12,Android,10.205.135.159,9C:7B:3F:82:6B:6A,1
255,Mobile,Vivo V30,Android,10.250.79.86,36:E5:B1:5E:51:73,1
256,Laptop,MacBook Air M3,macOS,10.50.224.203,1B:1D:A7:03:50:C7,1
257,Laptop,HP Pavilion,Windows,10.121.129.174,FB:E7:14:FE:9F:DD,1
258,Tablet,iPad Air,iPadOS,10.173.53.248,FB:63:86:49:C4:15,1
259,Mobile,Vivo V30,Android,10.38.190.177,7B:DB:28:D5:77:94,1
260,Laptop,Lenovo ThinkPad,Windows,10.90.173.123,A6:E1:71:78:3E:94,1
261,Laptop,Dell Inspiron 15,Windows,10.82.195.36,9D:E7:C0:AE:42:D3,1
262,Mobile,Vivo V30,Android,10.247.101.29,E6:72:70:D8:F1:5E,1
263,Mobile,OnePlus 12,Android,10.95.29.175,A2:B9:79:AB:30:DE,1
264,Mobile,Samsung Galaxy S24,Android,10.121.188.34,D4:9F:01:2B:8D:6B,1
265,Mobile,OnePlus 12,Android,10.126.170.101,97:CA:60:94:6E:CF,1
266,Laptop,HP Pavilion,Windows,10.139.156.100,D2:F5:F1:F9:4F:16,1
267,Laptop,Lenovo ThinkPad,Windows,10.59.237.158,23:6E:D6:83:50:A9,1
268,Laptop,Lenovo ThinkPad,Windows,10.83.122.166,E9:36:8E:F4:BD:B1,1
269,Mobile,iPhone 15,iOS,10.7.99.138,77:75:B9:9E:B4:73,1
270,Mobile,Vivo V30,Android,10.23.142.121,6F:38:2A:3F:93:F5,1
271,Laptop,Lenovo ThinkPad,Windows,10.170.186.47,37:64:A9:85:F4:89,1
272,Mobile,Vivo V30,Android,10.8.20.89,90:52:7B:A3:86:D8,1
273,Mobile,Vivo V30,Android,10.67.132.26,B8:ED:FC:FA:AE:67,1
274,Laptop,HP Pavilion,Windows,10.229.76.215,2B:94:A8:8F:EA:0E,1
275,Tablet,iPad Air,iPadOS,10.123.149.240,A0:CF:3E:53:EA:F5,1
276,Laptop,HP Pavilion,Windows,10.249.252.246,80:C3:B5:75:B2:9B,1
277,Laptop,HP Pavilion,Windows,10.179.36.106,1C:B8:2A:1A:5F:DC,1
278,Laptop,Lenovo ThinkPad,Windows,10.141.170.211,9C:D2:AC:6D:35:68,1
279,Laptop,HP Pavilion,Windows,10.65.104.154,14:66:C1:CC:63:8B,1
280,Mobile,OnePlus 12,Android,10.94.170.210,20:73:53:57:87:CF,1
281,Tablet,iPad Air,iPadOS,10.215.11.61,01:0C:24:1B:7F:A1,1
282,Mobile,Samsung Galaxy S24,Android,10.226.162.248,12:25:31:C0:73:D5,1
283,Mobile,iPhone 15,iOS,10.15.225.211,6D:50:C7:A2:8F:E4,1
284,Laptop,HP Pavilion,Windows,10.14.74.152,3C:08:49:43:D6:C0,1
285,Mobile,iPhone 15,iOS,10.153.68.233,60:A4:07:BF:1C:FA,1
286,Mobile,OnePlus 12,Android,10.193.208.65,A8:94:A7:5F:5A:EE,1
287,Laptop,Lenovo ThinkPad,Windows,10.32.66.193,2F:4B:D9:2A:B9:D5,1
288,Laptop,Dell Inspiron 15,Windows,10.198.129.97,F4:6F:42:0C:6D:D8,1
289,Tablet,iPad Air,iPadOS,10.181.111.78,DC:1C:67:4C:43:51,1
290,Tablet,iPad Air,iPadOS,10.10.5.174,3A:30:02:CD:34:5A,1
291,Laptop,HP Pavilion,Windows,10.172.119.232,ED:0F:D6:C6:C1:57,1
292,Tablet,iPad Air,iPadOS,10.200.201.16,82:03:EE:1B:D8:2F,1
293,Laptop,Dell Inspiron 15,Windows,10.200.206.85,F4:EF:AF:F0:C8:18,1
294,Mobile,OnePlus 12,Android,10.223.208.84,BA:47:2B:CC:08:F4,1
295,Laptop,Dell Inspiron 15,Windows,10.70.111.169,9D:40:36:A7:57:84,1
296,Mobile,Samsung Galaxy S24,Android,10.166.138.144,00:D3:18:CB:23:00,1
297,Mobile,Vivo V30,Android,10.34.41.227,E4:5D:37:6D:D9:6C,1
298,Tablet,iPad Air,iPadOS,10.147.79.219,8F:DC:74:16:3B:2B,1
299,Laptop,Lenovo ThinkPad,Windows,10.232.68.209,6D:86:87:FB:EB:7C,1
300,Laptop,Lenovo ThinkPad,Windows,10.194.29.69,5D:37:B8:C6:65:1D,1
301,Laptop,HP Pavilion,Windows,10.241.6.229,A5:FD:95:28:1F:47,1
302,Laptop,Lenovo ThinkPad,Windows,10.63.95.196,5C:D4:98:E3:65:34,1
303,Laptop,HP Pavilion,Windows,10.25.17.153,E5:D9:B2:CB:D0:C0,1
304,Mobile,Vivo V30,Android,10.65.104.220,29:41:D8:B8:AC:78,1
305,Tablet,iPad Air,iPadOS,10.235.222.89,7D:CC:16:F5:EC:4E,1
306,Mobile,Vivo V30,Android,10.8.39.150,10:AE:88:B4:D0:C8,1
